"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116916360",0.0183544525990162,0.106056570707585,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116917096",-1.09867614246122,-0.644234110406738,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116918898",-0.393720434567653,-0.382961818545663,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116919939",-0.554322896016468,-0.441075444714757,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116920434",-0.814960786532988,-0.105817822518639,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116920590",-2.16569844235216,0.707509468526802,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116923782",-1.24054724142102,-1.13408875372694,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116924244",-1.12436891890653,0.270155680199953,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116925584",-0.29157379414979,0.173544008255369,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116926417",-0.646794702468376,-0.646112975279483,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116926465",-0.837507871616032,-0.833872941088536,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116927943",-0.605963013239912,-0.110836879748191,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116932786",-0.126225448272602,0.00416059166254008,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116933683",0.303905495582689,0.49197409814839,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
"116936136",-0.764331220281624,-0.176041632785933,"2","TBT:provisioned_egg","CTR:provisioned_egg",-1.17563895201097
