"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"ko05225","ko05225","3/134","59/8626",0.0508474576271186,3.27321022008601,2.20078785423579,0.0635462545858996,0.680317416007435,0.676020674432651,"116917635/116919815/116929316",3,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map05225","Hepatocellular carcinoma","3/134","59/8626",0.0508474576271186,3.27321022008601,2.20078785423579,0.0635462545858996,0.680317416007435,0.676020674432651,"116917635/116919815/116929316",3,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00512","ko00512","2/134","27/8626",0.0740740740740741,4.76838032061913,2.46342640964357,0.0653104719367138,0.680317416007435,0.676020674432651,"116927482/116932960",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00512","Mucin type O-glycan biosynthesis","2/134","27/8626",0.0740740740740741,4.76838032061913,2.46342640964357,0.0653104719367138,0.680317416007435,0.676020674432651,"116927482/116932960",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04916","ko04916","2/134","30/8626",0.0666666666666667,4.29154228855721,2.26850019734151,0.0785660795586015,0.689497607445588,0.685142885714352,"116917635/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04916","Melanogenesis","2/134","30/8626",0.0666666666666667,4.29154228855721,2.26850019734151,0.0785660795586015,0.689497607445588,0.685142885714352,"116917635/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00982","ko00982","2/134","33/8626",0.0606060606060606,3.90140208050656,2.09758438081523,0.0925766722299987,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00982","Drug metabolism - cytochrome P450","2/134","33/8626",0.0606060606060606,3.90140208050656,2.09758438081523,0.0925766722299987,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko01524","ko01524","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04918","ko04918","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116917374/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04920","ko04920","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116917649/116925370",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map01524","Platinum drug resistance","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04918","Thyroid hormone synthesis","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116917374/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04920","Adipocytokine signaling pathway","2/134","35/8626",0.0571428571428571,3.67846481876333,1.99445879036595,0.102288790331248,0.689497607445588,0.685142885714352,"116917649/116925370",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00980","ko00980","2/134","36/8626",0.0555555555555556,3.57628524046434,1.94569862607029,0.107246233194465,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00980","Metabolism of xenobiotics by cytochrome P450","2/134","36/8626",0.0555555555555556,3.57628524046434,1.94569862607029,0.107246233194465,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04666","ko04666","2/134","38/8626",0.0526315789473684,3.38805970149254,1.8531813405197,0.117347849396701,0.689497607445588,0.685142885714352,"116917869/116924263",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04666","Fc gamma R-mediated phagocytosis","2/134","38/8626",0.0526315789473684,3.38805970149254,1.8531813405197,0.117347849396701,0.689497607445588,0.685142885714352,"116917869/116924263",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04310","ko04310","3/134","77/8626",0.038961038961039,2.50804419461136,1.66966264719579,0.117510533109885,0.689497607445588,0.685142885714352,"116916606/116917635/116930688",3,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04310","Wnt signaling pathway","3/134","77/8626",0.038961038961039,2.50804419461136,1.66966264719579,0.117510533109885,0.689497607445588,0.685142885714352,"116916606/116917635/116930688",3,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05204","ko05204","2/134","40/8626",0.05,3.21865671641791,1.76665449497867,0.127678008140667,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map05204","Chemical carcinogenesis - DNA adducts","2/134","40/8626",0.05,3.21865671641791,1.76665449497867,0.127678008140667,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko01230","ko01230","2/134","41/8626",0.0487804878048781,3.14015289406625,1.72541487447296,0.132921424638488,0.689497607445588,0.685142885714352,"116917283/116930449",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04211","ko04211","2/134","41/8626",0.0487804878048781,3.14015289406625,1.72541487447296,0.132921424638488,0.689497607445588,0.685142885714352,"116917649/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map01230","Biosynthesis of amino acids","2/134","41/8626",0.0487804878048781,3.14015289406625,1.72541487447296,0.132921424638488,0.689497607445588,0.685142885714352,"116917283/116930449",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04211","Longevity regulating pathway","2/134","41/8626",0.0487804878048781,3.14015289406625,1.72541487447296,0.132921424638488,0.689497607445588,0.685142885714352,"116917649/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00010","ko00010","2/134","43/8626",0.0465116279069767,2.99409927108643,1.64660111280143,0.143550865228502,0.689497607445588,0.685142885714352,"116925370/116927303",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00010","Glycolysis / Gluconeogenesis","2/134","43/8626",0.0465116279069767,2.99409927108643,1.64660111280143,0.143550865228502,0.689497607445588,0.685142885714352,"116925370/116927303",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05150","ko05150","1/134","10/8626",0.1,6.43731343283582,2.16101848460612,0.144993256886374,0.689497607445588,0.685142885714352,"116933989",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map05150","Staphylococcus aureus infection","1/134","10/8626",0.1,6.43731343283582,2.16101848460612,0.144993256886374,0.689497607445588,0.685142885714352,"116933989",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00480","ko00480","2/134","44/8626",0.0454545454545455,2.92605156037992,1.6088922157518,0.148931483208247,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04922","ko04922","2/134","44/8626",0.0454545454545455,2.92605156037992,1.6088922157518,0.148931483208247,0.689497607445588,0.685142885714352,"116925370/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
