"gene","CTR:embryo","TBT:embryo","cluster","condition","control","estimate"
"116915384",0.081941206385155,2.1023427682182,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116915733",0.247216969372032,2.05819027816948,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116918898",-0.347377990176842,2.51092705815052,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116919411",0.195495033094111,1.95864206263398,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116919446",0.00681073362967196,2.23299490210875,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116920200",-0.365981204770047,1.8626680831464,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116920358",-0.151404507494242,2.31866505866295,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116921485",-0.411311370363769,1.77670249177703,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116921500",0.327631878942141,2.27014809678313,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116921716",-0.230583438978956,2.05902208734716,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116922042",-0.0073884549078827,2.31487695653604,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116923540",0.196846882890401,1.863825147864,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116924365",0.189994239828112,2.03085786843162,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116924588",0.101989893981686,2.25605408049636,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116924600",-0.754834755608836,-0.363559305700891,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116925183",0.296241905801992,2.28020367507172,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116925471",-1.19681130305694,2.11603076945454,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116925668",-0.348222169077035,2.28358641783458,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116925705",-0.124505692930698,2.16597181829203,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116926305",0.551186455112261,2.03123743987518,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116926465",0.317241488151297,2.33762812242896,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116926585",-0.345189021851459,1.8639882837054,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116927819",-0.0667086520370561,2.04139787520902,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116928523",0.344069587670188,2.02878529063068,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116928564",-0.608377717982466,1.93876372277482,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116929581",-0.152632363181792,1.85735759697677,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116929995",0.127338165502158,2.08597775985828,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116931382",-0.994970019106841,0.566944477088775,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116931597",0.105907285775413,2.06828797823357,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116932239",0.238633919577758,1.80953804214037,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116932332",0.801141035932104,2.11536939442016,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116932593",0.233710754861212,2.18055490654157,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116932626",0.56269559528677,2.08294763356782,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116933008",-0.242283037598941,1.6534358546411,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116934276",0.217109580631835,2.16557243685574,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116934356",-0.0492750696675372,2.01297181315947,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116934888",-0.878467787371123,0.405108131748515,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116936370",-0.355746780377555,2.70782521789089,"1","TBT:embryo","CTR:embryo",1.45733320107042
"116936749",0.520257380252431,2.15277817824869,"1","TBT:embryo","CTR:embryo",1.45733320107042
