"gene","CTR:unprovisioned_egg","SER:unprovisioned_egg","cluster","condition","control","estimate"
"116920434",-0.785150016592081,0.0987491814520789,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920551",-1.01365718973834,0.229162962015667,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920616",-0.443828153412563,0.503219155758203,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920765",-0.371552665595651,0.677704001259389,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920972",-0.194339617895532,0.286430146889298,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921247",-0.92341764408831,0.712057579900518,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921335",-1.89350028043831,-0.113513168811652,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921336",-0.413517088496742,0.538516228468125,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921713",-0.580589861894055,0.633767406742506,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116922311",-0.481633548551306,0.378391502475547,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116922784",0.251025433985046,0.549210749028422,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116922805",-0.828101236715266,0.886812915499227,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116923540",-0.480947822141661,0.949319702690694,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116923641",0.0248686930339743,0.796987616432302,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116923694",-0.113915750831114,0.469196484279666,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116923749",0.163050215581249,0.64815020724904,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116923991",-0.496016304750124,0.615090461437979,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924028",-1.27431669895815,0.104417218898296,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924058",-0.374955124210941,-0.354292334801595,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924065",-0.415040831551444,0.341926356902116,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924492",-0.427695342721229,0.960195227855208,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924848",-0.390362595529072,0.150165427802895,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116924906",-0.659463727544732,0.451866660160685,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925132",0.189293909296936,0.535323480377585,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925196",-0.62121585888535,1.06878555102106,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925225",0.842895938764669,0.967642627207651,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925342",-0.658557447053916,0.0923207954009931,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925384",-0.731194315956503,-0.143173831065807,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925474",-0.683782247054523,0.837749764886189,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925502",-0.872312250342046,1.19524208607415,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925538",-2.178687913267,-0.0890404069975339,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925561",-0.128361483036331,0.515329894912144,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925584",-1.45719854635289,0.235641202462831,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925746",0.503784489251879,0.844207504610527,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116925761",0.613798431258716,0.779915508639876,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116926388",-1.18796261297342,0.446198502208311,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116926417",-1.52944472329627,0.613528217813384,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116926465",-1.21465232529178,0.827914272126944,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116926883",-0.185517943769529,0.935066528793344,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927200",-0.590231355967723,0.713747319506681,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927208",-0.496592383500472,-0.363416695584927,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927235",-0.924744425334311,-0.123801459411379,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927392",-0.510277707845791,0.0141584915493149,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927825",-0.730954227139854,0.657311375405514,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927832",-0.75571210175837,0.476785504972322,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927924",-0.571026285044516,0.666728804194827,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927943",-0.369803164263586,0.960057284738025,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116927949",-0.439595793045427,-0.150931771095879,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928286",-0.496094586536437,0.804452852181695,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928307",-0.599074774868418,0.993315614350208,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928345",-0.657373179335952,0.571043164516135,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928348",-0.664962970143434,0.706460081435884,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928439",0.00288135838887561,0.699633112648344,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116928937",-0.0233150188488319,1.01531560278647,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929120",0.287960499401696,0.440039623557539,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929271",-0.588111652665575,0.685266883452156,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929291",-0.474221094240706,0.848993742226495,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929331",-0.271802020535603,0.45105020121608,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929332",-0.32520748492102,0.84990379839832,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929340",-0.796696259991582,0.744538938079887,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929371",-0.437865484017114,0.752632855636786,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929653",0.00101554305932414,0.409354898333494,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929657",-0.458912878527888,0.888611501896004,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929739",-0.578705423373277,0.133769890652497,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116929867",-0.321783891989915,0.899980308176067,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
