"gene","CTR:provisioned_egg","SER:provisioned_egg","cluster","condition","control","estimate"
"116915509",-0.348420368123066,-0.267431763891111,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
"116919295",-0.287695098438653,0.255735767546156,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
"116922988",-0.179372865455557,0.00951654582802581,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
"116926044",0.929864759126403,1.62604889420766,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
"116935081",0.576902820217792,0.791556142484766,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
"116936799",0.0235079963280376,0.412395410142756,"3","SER:provisioned_egg","CTR:provisioned_egg",-1.25557720529025
