"","gene","pvalue","padj"
"1","116915296",0.243415946329203,0.928878257643204
"2","116915297",0.388742828670222,0.991844975383514
"3","116915299",0.133001450351762,0.756719259723144
"4","116915300",0.243012367912792,0.980933002324886
"5","116915301",0.313698574843282,0.975086588402239
"6","116915302",0.1121448562638,0.890478599462476
"7","116915307",0.197618199764461,0.89905245574483
"8","116915308",0.00790523275356173,0.0948627930427408
"9","116915309",0.160234368405777,0.857605648973497
"10","116915310",0.285360020997052,0.929507728236754
"11","116915312",0.186149085374023,0.659218900113822
"12","116915313",0.0168430567882847,0.202116681459416
"13","116915319",0.0249755597579066,0.214294529703353
"14","116915321",0.0272823665242488,0.327388398290986
"15","116915322",0.213348688253679,0.996535437963655
"16","116915323",0.174103547960907,0.987905313711087
"17","116915327",0.00976126456394239,0.117135174767309
"18","116915328",0.0298438816260579,0.358126579512695
"19","116915329",0.0291484946670418,0.274892517624458
"20","116915330",0.19902047382078,0.992477173575138
"21","116915331",0.0380245290393551,0.381489039950546
"22","116915332",0.186457005880229,0.925930268288639
"23","116915333",0.0363950637328212,0.293984240025569
"24","116915334",0.128485002791152,0.950121362333981
"25","116915335",0.277571636495216,0.863915747910242
"26","116915336",0.390398843043103,0.892467638604773
"27","116915337",0.324940313585855,0.976773225279763
"28","116915338",0.0331792015521712,0.378137446824261
"29","116915339",0.0146706425621855,0.176047710746227
"30","116915340",0.323090889010572,0.929193995312753
"31","116915341",0.0878760934215224,0.78543937467836
"32","116915342",0.0739905170954343,0.705465773128768
"33","116915343",0.0890450423564078,0.653632214830269
"34","116915344",0.159081062140446,0.949394759312999
"35","116915345",0.243073903600155,0.955842439709145
"36","116915346",0.0217538213164739,0.261045855797687
"37","116915347",0.0639579240446905,0.639228503392832
"38","116915348",0.111720224423234,0.739445030891467
"39","116915349",0.0992169187926214,0.760199909753715
"40","116915350",0.0705293970773011,0.341154665707503
"41","116915351",0.12156228435882,0.887189601647038
"42","116915352",0.167545420441783,0.865865066766718
"43","116915353",0.101276236758107,0.912323088298368
"44","116915354",0.0959080831781813,0.997301272690534
"45","116915355",0.146932492787171,0.758979522612404
"46","116915356",0.0624656444738534,0.749587733686241
"47","116915357",0.545392640177495,0.957601208914398
"48","116915358",0.119951169538361,0.81704230595423
"49","116915359",0.0545798811835123,0.611922712023581
"50","116915360",0.138552276691522,0.601229338966443
"51","116915361",0.0474953780517342,0.56994453662081
"52","116915362",0.137886056115601,0.974612748026042
"53","116915363",0.482177012857155,0.989857643843209
"54","116915364",0.166170754278095,0.805727779234628
"55","116915365",0.10761083732343,0.705162304318354
"56","116915366",0.148565446236279,0.692357258160879
"57","116915367",0.036210317147679,0.309948508381676
"58","116915368",0.18697639806884,0.881014838991391
"59","116915369",0.208524062784958,0.936327250182492
"60","116915371",0.0399769800892792,0.47972376107135
"61","116915372",0.230486498033734,0.899136441545711
"62","116915373",0.139853703712773,0.824250709684596
"63","116915374",0.132443110985532,0.712727745442427
"64","116915375",0.122681353657626,0.633349300215474
"65","116915376",0.126734377504573,0.481826210724037
"66","116915377",0.301891849291614,0.999665552912789
"67","116915378",0.181965368833864,0.759037138458884
"68","116915379",0.235548348627569,0.78891109124554
"69","116915380",0.100640981477776,0.67364460449683
"70","116915381",0.212856496328698,0.911736396968746
"71","116915382",0.130979167213223,0.96882906456793
"72","116915383",0.136696732692291,0.712077640690919
"73","116915384",0.00331656738369583,0.03979880860435
"74","116915385",0.0802368169257934,0.827758331492923
"75","116915386",0.210241304910773,0.887396401051687
"76","116915387",0.0799421463992826,0.657734642728324
"77","116915388",0.347950980605514,0.877546710185729
"78","116915389",0.00706825166127767,0.0848190199353321
"79","116915390",0.046338889246226,0.443593867607776
"80","116915391",0.32026021088805,0.860393885980244
"81","116915392",0.286736944263135,0.817603660517933
"82","116915393",0.217253523716137,0.787276736686925
"83","116915394",0.253967383640701,0.967543199335403
"84","116915395",0.349586439068027,0.940887309452688
"85","116915396",0.319076874654551,0.983113580430088
"86","116915397",0.0210058798052847,0.252070557663417
"87","116915398",0.356124789467862,0.968184059125566
"88","116915399",0.0153554156970746,0.184264988364896
"89","116915401",0.00317687333918321,0.0381224800701985
"90","116915402",0.463358247397519,0.972230731671428
"91","116915403",0.0207675562102956,0.249210674523548
"92","116915404",0.518315139385992,0.971968040160417
"93","116915408",0.224311229673349,0.998113715513516
"94","116915409",0.438689944489107,0.92526114347851
"95","116915411",0.091842739828942,0.561600469079331
"96","116915412",0.276407044677695,0.982135684370913
"97","116915413",0.00608626116183456,0.0730351339420147
"98","116915415",0.0162545732698239,0.109264009638538
"99","116915417",0.0280358924068568,0.310596375052619
"100","116915418",0.0772495276301561,0.774760593678783
"101","116915419",0.290453317868834,0.987539215358401
"102","116915420",0.175284767061444,0.91759988605588
"103","116915421",0.205244372456292,0.973742018310337
"104","116915422",0.589312873333843,0.99471167234766
"105","116915423",0.0516649747760214,0.475454229185325
"106","116915424",0.252864757989179,0.962321902244964
"107","116915425",0.174142600398061,0.99813061591946
"108","116915426",0.00331866268932181,0.0398239522718617
"109","116915427",0.0754212864302296,0.817049073472655
"110","116915429",0.153955213424921,0.964647261159825
"111","116915430",0.0937379085012446,0.482743846962722
"112","116915431",0.307536344330255,0.841297338067469
"113","116915432",0.198714580124509,0.833751966484171
"114","116915433",0.261682772911381,0.942509828508386
"115","116915434",0.149880459778684,0.902412937390929
"116","116915435",0.14748977655342,0.912957500202741
"117","116915436",0.0715293874144937,0.744752752593894
"118","116915437",0.108705864361742,0.630559575656854
"119","116915438",0.0471998493024195,0.407216387477331
"120","116915439",0.185207410753556,0.773453720881086
"121","116915440",0.139968097159676,0.80599426758709
"122","116915441",0.00797441599195427,0.0956929919034512
"123","116915442",0.0158959290552847,0.190751148663416
"124","116915443",0.0770322547253031,0.458632294558971
"125","116915444",0.0269485802317984,0.323382962781581
"126","116915445",0.0534996777354803,0.641996132825764
"127","116915446",0.208309041248079,0.831969759874329
"128","116915447",0.256842241227741,0.981475563465735
"129","116915448",0.0224769842552204,0.269723811062645
"130","116915449",0.0435387177510067,0.335720236229264
"131","116915450",0.00242967241803392,0.029156069016407
"132","116915451",0.0698909494680693,0.573514802942268
"133","116915452",0.00239539782002916,0.0287447738403499
"134","116915453",0.0733202458810071,0.395058153745257
"135","116915454",0.136021912112178,0.495540307169414
"136","116915455",0.0944104865489112,0.910665841250914
"137","116915456",0.0573943553102266,0.390739112307319
"138","116915457",0.142510613279925,0.804033742631693
"139","116915458",0.233649536737837,0.820698088543654
"140","116915460",0.181666433931269,0.970186213500115
"141","116915461",0.0972013193491217,0.69983711907424
"142","116915462",0.0290645854762609,0.348775025715131
"143","116915463",0.0435578598796606,0.522694318555927
"144","116915464",0.00839742517533643,0.100769102104037
"145","116915466",0.100917429876295,0.568680815067639
"146","116915467",0.139268556888095,0.628949812549749
"147","116915468",0.142191937713373,0.73896400517491
"148","116915469",0.0381686003120834,0.418323045884172
"149","116915470",0.0951996721840083,0.627478861747073
"150","116915471",0.0727121508099822,0.432303173035209
"151","116915472",0.0565244948024647,0.609845212168664
"152","116915473",0.047636523844706,0.571638286136472
"153","116915474",0.111552004223549,0.631831239585083
"154","116915475",0.210776636410019,0.965602034840342
"155","116915476",0.0604122679402296,0.724947215282755
"156","116915477",0.108468808642481,0.52321861389629
"157","116915478",0.0166167341441921,0.199400809730306
"158","116915479",0.220978060940842,0.824465685729498
"159","116915480",0.0351679954113607,0.422015944936328
"160","116915481",0.0598691173073957,0.442144662093551
"161","116915482",0.144080714127429,0.636665516901879
"162","116915483",0.148611181173975,0.749544414440469
"163","116915484",0.162588799993035,0.915282451200915
"164","116915486",0.182557716056282,0.91491948279702
"165","116915488",0.144790503610996,0.84122622119434
"166","116915489",0.200687723306552,0.954702632874646
"167","116915490",0.184049960372544,0.917658573572731
"168","116915491",0.0320843904978389,0.385012685974067
"169","116915492",0.164644482723438,0.767141146666424
