"gene","CTR:provisioned_egg","SER:provisioned_egg","cluster","condition","control","estimate"
"116915308",-1.04415029565371,0.137781014034756,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915389",-2.27160573869671,0.126488864734626,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915401",-2.25813021966469,0.113608157310347,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915413",-0.146990704296709,0.817723769841685,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915417",-1.75234024750949,0.425986491439697,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915426",-2.35706031360951,0.14070210817531,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915442",-1.81322303720125,0.376085897133505,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915450",-1.57806388456557,0.0443617861983974,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915452",-1.94652679579046,0.198372290968489,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915464",-2.13347796513574,0.121313305678202,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915497",-1.71658887403412,0.175047525162839,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915534",-2.0952813808163,0.140923673913808,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915536",-1.97905777158911,0.178536694836555,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915537",-2.22520917184316,0.0936413670980786,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915538",-1.5806080260044,0.192075992463485,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915561",-2.16282401507101,0.100653582849499,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915566",-2.16590439850119,-0.268533766686311,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915582",-2.07838407137178,-0.455340989819889,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915649",-1.54807099552122,0.204148437816481,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915666",-1.890491505972,0.308358731551854,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915686",-1.33347148567113,0.338354273534121,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915688",-0.711630837445133,0.560386565831413,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915689",-1.29116994952165,0.360555695388805,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915754",-2.03656530692893,0.520590062103125,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915858",-0.933384025072752,0.265795488587021,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915861",-0.86439690818633,0.0689365044477262,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915862",-1.19451641313454,0.674588090487057,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915922",-0.184556002673855,0.747771617515549,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915940",0.0532512426515505,0.709377680651291,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116915949",-2.18882213920299,-0.186735328739085,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916001",-2.07065880596319,-0.425551009248129,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916036",-1.97610550536721,0.260769709946707,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916127",-2.00100759994374,-0.273242106130721,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916224",-0.278237287422108,0.563475609883043,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916283",-0.145890470980124,0.815621372561657,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916351",-1.42824590991818,0.424689248890953,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916355",-0.977233191447719,-0.101765140530357,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916476",-1.79747497935473,-0.0509075889786218,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916479",-2.04176818189912,0.304093949139716,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916521",-1.3025051053102,0.235076583818788,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916526",-1.06848829528941,0.317835517574055,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916527",-1.70844866965562,0.03272170812376,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916606",-0.961008787916039,0.312740951708397,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916722",-0.764003680846921,0.231952498799157,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916741",-0.810102562637575,0.762360578218789,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116916794",-1.67348330421336,-0.0684882796388664,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917056",-1.04094121572134,0.122996268210709,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917256",-1.33850610725287,0.530470815881444,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917283",-1.97330135974086,-0.209540747384804,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917316",-0.706460378100646,0.719315977052619,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917374",-0.143472972581017,0.719208388173851,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917384",-1.2786675040442,0.416855203155414,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917448",-1.77341241619242,0.318591783570334,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917503",-1.38192388107509,0.0946115799742744,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917561",-1.13559386452112,0.423246338060722,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917562",-0.180840396436229,0.480419912077603,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917572",-1.30202558748452,0.165506862447851,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917596",-1.16448517008793,0.305992379409814,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917635",-0.730269855788048,0.439213673362619,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917649",-0.743859784175977,0.615938356620964,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917808",-1.07903794925567,0.297474322209911,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917843",-1.47869444263151,0.0323045622081548,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917869",-1.95246056091331,0.222973034942884,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917920",-1.26170626334322,0.575015207631189,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116917931",-0.598463669509153,0.576052508552245,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116918008",-1.78989465923652,-0.0627442603651512,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116918009",-1.58082848000617,0.349568007646772,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116918010",-1.4315612062674,0.0746661392884116,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116918039",-0.918426608647611,-0.198405998566517,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
"116918147",-1.3006240270117,0.315713902992156,"1","SER:provisioned_egg","CTR:provisioned_egg",1.47160151031908
