"gene","CTR:provisioned_egg","FLX:provisioned_egg","cluster","condition","control","estimate"
"116917562",-0.180840396436229,0.163850963290369,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917572",-1.30202558748452,-0.599894750346868,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917596",-1.16448517008793,-0.095810262390551,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917635",-0.730269855788048,-0.157608762972892,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917649",-0.743859784175977,-0.723519648376035,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917808",-1.07903794925567,-0.0140065034549555,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917843",-1.47869444263151,-0.764629725265264,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917869",-1.95246056091331,-0.681569460799686,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917920",-1.26170626334322,-0.443112349185027,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917931",-0.598463669509153,0.179424227296233,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918008",-1.78989465923652,-0.859787969980149,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918009",-1.58082848000617,-0.310405400809137,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918010",-1.4315612062674,-0.537684065515004,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918039",-0.918426608647611,-0.382144466761804,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918147",-1.3006240270117,-0.101121713163072,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918165",0.0878867576525217,0.36959913316278,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918220",-0.712005078916447,-0.0640440777045946,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918368",-1.43204006292242,-0.416611484735484,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918481",-1.70406857677516,-0.712794057607508,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918523",-1.34629325934176,-0.276731278816096,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918524",-1.54663404065404,-0.737236638172548,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918702",-1.3627288466733,-0.273898619163859,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918715",-1.67293695217707,-0.422712781000793,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918759",-0.214539356761466,0.182549926057729,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918781",-0.264764276217308,0.137501981394279,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918846",-1.10548450077074,0.241129863078072,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918853",-0.673523475834722,0.177674871939152,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918984",-0.833229187577603,0.27352432106166,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919134",-0.474909528782704,0.440283638512644,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919162",-0.830714882372255,0.0634654902092139,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919212",-1.95137808605819,-0.480659012913086,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919230",-2.41316333598818,-1.14002669473317,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919236",-1.63149082419706,-0.525180939928095,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919237",-1.15763152773135,-0.341355957761928,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919239",-1.0074062220545,-0.776143408186692,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919240",-1.88604112722113,-0.507166949376936,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919245",-1.98725739289551,-0.511423413686418,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919442",-1.21063433159322,-0.0836700368294943,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919483",-0.459720997792545,0.485603936462394,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919533",-0.647696360610471,-0.316113784559515,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919640",-0.447809399296893,0.274032157281381,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919694",-2.40005118997905,-0.924767935062078,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919700",-2.02093877890602,-0.831778846101198,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919772",-1.8516310739188,-0.634627468811835,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919815",-0.308082908274041,0.122356040306159,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116919948",-0.288442875731183,0.0225925398995127,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920075",-1.40345728970873,-0.23867863870519,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920231",-0.915044869069424,0.144525069798095,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920274",-1.4397465198642,-0.525916973027982,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920335",-0.857157681722759,-0.0501207563926467,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920480",-1.3615962897224,-0.397844783733279,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920540",-0.462554212491409,-0.0303586109486134,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920543",-0.660149862882943,0.25196516035386,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920546",-1.63371312399186,-0.338318765114302,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920578",-1.11960476862801,-0.59057404996592,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920580",-1.64297300007987,-0.716499977474656,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920689",-1.75391593750665,0.232218537348927,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920746",-1.51607084465114,-0.28174347838826,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920755",-0.904755220801787,-0.18128621071706,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920774",-1.88507414704022,-0.564211827162751,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920817",-1.0710225948318,-0.163137648621381,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920824",-0.698537743852314,-0.373628526612533,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920919",-1.09485556489136,-0.563588412280389,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920924",-1.22581391641841,-0.207162385212995,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920928",-1.10079680729739,-0.177440542632182,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920929",-0.585784271531182,0.23404467300995,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920930",-1.29205902360945,-0.207272285789839,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920931",-1.32791379121609,-0.251859474891628,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920933",-1.72796288564421,-0.345529785597748,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920937",-0.940440052336027,-0.150705743781973,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920938",-0.903953591527301,-0.177163445081321,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116920955",-0.64738693137726,0.100790873285676,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921020",-1.40247154239516,-0.249558204103587,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921031",-0.204445072376645,0.130409874903483,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921073",0.215107886896619,0.630209926200193,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921079",-1.23781260716447,0.305518935357459,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
