"","sig_genes_padj_deseq"
"399","116929191"
"400","116929480"
"401","116929166"
"402","116929159"
"403","116928347"
"404","116929332"
"405","116929174"
"406","116929086"
"407","116929033"
"408","116929335"
"409","116928432"
"410","116929837"
"411","116929024"
"412","116929495"
"413","116929169"
"414","116929657"
"415","116929026"
"416","116929194"
"417","116929001"
"418","116928286"
"419","116929338"
"420","116929371"
"421","116929167"
"422","116929472"
"423","116928346"
"424","116928375"
"425","116928255"
"426","116928835"
"427","116929047"
"428","116929120"
"429","116929440"
"430","116928345"
"431","116929653"
"432","116928937"
"433","116928949"
"434","116928258"
"435","116929750"
"436","116929145"
"437","116929739"
"438","116929716"
"439","116929376"
"440","116928342"
"441","116929144"
"442","116929392"
"443","116928439"
"444","116928348"
"445","116929331"
"446","116929867"
"447","116928307"
"448","116930021"
"449","116930449"
"450","116930292"
"451","116931367"
"452","116931093"
"453","116930362"
"454","116930964"
"455","116931135"
"456","116930136"
"457","116930216"
"458","116930689"
"459","116930926"
"460","116930219"
"461","116931039"
"462","116930746"
"463","116930930"
"464","116930636"
"465","116930625"
"466","116929991"
"467","116929992"
"468","116931374"
"469","116930284"
"470","116930210"
"471","116931277"
"472","116930010"
"473","116931382"
"474","116931406"
"475","116931127"
"476","116930570"
"477","116931095"
"478","116930354"
"479","116930745"
"480","116931145"
"481","116931149"
"482","116930991"
"483","116931180"
"484","116930688"
"485","116929963"
"486","116930223"
"487","116931429"
"488","116932838"
"489","116932857"
"490","116932142"
"491","116931589"
"492","116931598"
"493","116931599"
"494","116932816"
"495","116932769"
"496","116931569"
"497","116932657"
"498","116931742"
"499","116932373"
"500","116931585"
"501","116931762"
"502","116932067"
"503","116932055"
"504","116931740"
"505","116933062"
"506","116931746"
"507","116931531"
"508","116932765"
"509","116931894"
"510","116932764"
"511","116931592"
"512","116931534"
"513","116931747"
"514","116933043"
"515","116933008"
"516","116931679"
"517","116932763"
"518","116932663"
"519","116932310"
"520","116932862"
"521","116931761"
"522","116932827"
"523","116932320"
"524","116932914"
"525","116932289"
"526","116932960"
"527","116932403"
"528","116931579"
"529","116932239"
"530","116932069"
"531","116932700"
"532","116933014"
"533","116932786"
"534","116933111"
"535","116933119"
"536","116933123"
"537","116933126"
"538","116933229"
"539","116933236"
"540","116933254"
"541","116933302"
"542","116933380"
"543","116933406"
"544","116933411"
"545","116933498"
"546","116933504"
"547","116933683"
"548","116933702"
"549","116933776"
"550","116933805"
"551","116933951"
"552","116933953"
"553","116933989"
"554","116934015"
"555","116934186"
"556","116934194"
"557","116934248"
"558","116934276"
"559","116934318"
"560","116934325"
"561","116934335"
"562","116934336"
"563","116934387"
"564","116934437"
"565","116934496"
"566","116934497"
"567","116934731"
"568","116934784"
"569","116934801"
"570","116934837"
"571","116934838"
"572","116934863"
"573","116934957"
"574","116935009"
"575","116935033"
"576","116935053"
"577","116935074"
"578","116935075"
"579","116935078"
"580","116935111"
"581","116935222"
"582","116935313"
"583","116935344"
"584","116935347"
"585","116935401"
"586","116935949"
"587","116935974"
"588","116935980"
"589","116936000"
"590","116936041"
"591","116936073"
"592","116936122"
"593","116936136"
"594","116936216"
"595","116936363"
