"gene","CTR:unprovisioned_egg","SER:unprovisioned_egg","cluster","condition","control","estimate"
"116915566",0.449668868116707,0.507945550521875,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116918337",-0.479784692046191,0.175038233945587,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116919694",0.265536292931136,0.344604886961572,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116920689",-0.699548047671935,-0.533715880978093,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116923059",-1.27917162877596,-0.297865167868244,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116924262",0.317362562527896,0.440979797376041,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116925602",-0.887145704755437,-0.518842574747841,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116926562",-0.756078396209058,-0.684601724446891,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116928132",-0.780950052330341,-0.238098166607876,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116930746",-0.901762630423972,-0.553216919822931,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116930752",-1.00697214253804,-0.71681741628397,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116933111",-0.669160436112782,0.00371933405949396,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116933953",-1.97128442700025,0.227688200115938,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116934980",-0.540586365179383,0.467434350609543,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116935009",0.394155298871981,0.579264275005956,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
"116936041",-1.36954958006057,-0.389454871733623,"1","SER:unprovisioned_egg","CTR:unprovisioned_egg",-1.14555215313502
