"gene","CTR:provisioned_egg","FLX:provisioned_egg","cluster","condition","control","estimate"
"116915509",-0.332416567296163,0.121668511723262,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116916255",-0.652876135064645,-0.139337248923674,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116916300",0.464787125856412,0.466715930949867,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116917096",-1.09867614246122,0.867668108128283,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116919295",-0.129514734191667,0.529207377273973,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116919705",0.0841539986864762,0.620358045661759,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116919939",-0.554322896016468,-0.341664541027893,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116920434",-0.814960786532988,0.0667226409658362,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116920590",-2.16569844235216,-1.05388060043697,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116923782",-1.24054724142102,0.29595906096879,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116924244",-1.12436891890653,-0.373474353850399,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116925196",-0.630298546573178,-0.39739853674752,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116926465",-0.837507871616032,-0.474966759926359,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116927943",-0.605963013239912,-0.554718462254753,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116928078",0.512452294566094,0.819648377870476,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116930431",-0.536391473095096,0.181005409563024,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116932786",-0.126225448272602,0.882155815072635,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116933805",-0.303244993463529,-0.228958030943002,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
"116936136",-0.764331220281624,-0.758035830307373,"2","FLX:provisioned_egg","CTR:provisioned_egg",-0.482533954751582
